Material Name,Symbol,Category,Phase,t_min (K),t_max (K),A,B,C,D,Max Fit Error (%),R²,Molecular Weight (g/mol),NASA Species (ref),Reference Code,Source / Notes
LiH,LiH,Other technologically relevant materials,cr,200,582.5,-14.21258,231.724768,-365.223206,245.155062,1.449,0.99988,7.9489,LiH(cr),tpis82,"Cubic. Gurvich,1982 pt1 p263 pt2 p300."
LiH,LiH,Other technologically relevant materials,cr,582.5,965,13.953728,60.991719,-15.69691,5.031909,0.014,1,7.9489,LiH(cr),tpis82,"Cubic. Gurvich,1982 pt1 p263 pt2 p300."
LiH,LiH,Other technologically relevant materials,L,965,6000,54.999687,0,0,0,0,1,7.9489,LiH(L),tpis82,"Liquid. Gurvich,1982 pt1 p263 pt2 p300."
LiI,LiI,Other technologically relevant materials,cr,200,500,36.206661,85.271318,-160.276037,138.818534,0.378,0.99959,133.8455,LiI(cr),tpis82,"Cubic. Gurvich,1982 pt1 p287 pt2 p321."
LiI,LiI,Other technologically relevant materials,cr,500,742,43.63678,24.83079,0,0,0,1,133.8455,LiI(cr),tpis82,"Cubic. Gurvich,1982 pt1 p287 pt2 p321."
LiI,LiI,Other technologically relevant materials,L,742,6000,63.19964,0,0,0,0,1,133.8455,LiI(L),tpis82,"Liquid. Gurvich,1982 pt1 p287 pt2 p321."
LiNO2,LiNO2,Other technologically relevant materials,II,298.15,369,-8.538951,239.942633,0,0,0,1,52.9465,LiNO2(II),tpis82,"Crystal. Gurvich,1982 pt1 p292 pt2 p326."
LiNO2,LiNO2,Other technologically relevant materials,I,369,495,79.999544,0,0,0,0,1,52.9465,LiNO2(I),tpis82,"Hexagonal. Gurvich,1982 pt1 p292 pt2 p326."
LiNO2,LiNO2,Other technologically relevant materials,L,495,6000,89.999487,0,0,0,0,1,52.9465,LiNO2(L),tpis82,"Liquid. Gurvich,1982 pt1 p292 pt2 p326."
LiNO3,LiNO3,Other technologically relevant materials,cr,298.15,526,87.543501,-78.556552,279.861405,0,0,1,68.9459,LiNO3(cr),tpis82,"Hexagonal. Gurvich,1982 pt1 p294 pt2 p328."
